"group","family","genus","species","sub.var"
"intro","Poaceae","Poa","annua",NA
"intro","Poaceae","Polypogon","monspeliensis",NA
"intro","Poaceae","Sporobolus","indicus","var. capensis"
"intro","Poaceae","Stenotaphrum","secundatum",NA
"intro","Poaceae","Vulpia","bromoides",NA
"intro","Poaceae","Vulpia","myuros",NA
"intro","Polygonaceae","Acetosa","sagittata",NA
"intro","Primulaceae","Anagallis","arvensis",NA
"intro","Primulaceae","Solanum","chenopodioides",NA
"intro","Primulaceae","Solanum","nigrum",NA
"native.gone","Aizoaceae","Carpobrotus","glaucescens",NA
"native.gone","Asclepidiaceae","Tylophora","barbata",NA
"native.gone","Asteraceae","Cymbonotus","lawsonianus",NA
"native.gone","Asteraceae","Gnaphalium","involucratum",NA
"native.gone","Asteraceae","Senecio","biserratus",NA
"native.gone","Chenopodiaceae","Chenopodium","carinatum",NA
"native.gone","Chenopodiaceae","Chenopodium","pumilio",NA
"native.gone","Chenopodiaceae","Salsola","kali",NA
"native.gone","Epacridaceae","Leucopogon","parviflorus",NA
"native.gone","Epacridaceae","Monotoca","elliptica",NA
"native.gone","Fabaceae","Glycine","clandestina",NA
"native.gone","Juncaceae","Juncus","planifolius",NA
"native.gone","Oxalidaceae","Oxalis","thompsoniae",NA
"native.gone","Oxalidaceae","Plantago","?debilis",NA
"native.gone","Poaceae","Elymus","scaber",NA
"native.gone","Poaceae","Dichelachne","crinita",NA
"native.gone","Poaceae","Eragrostis","elongata",NA
"native.gone","Poaceae","Poa","labillardieri",NA
"native.gone","Poaceae","Sporobolus","diander",NA
"native.gone","Poaceae","Sporobolus","elongatus",NA
"native.gone","Portulacaceae","Calandrinia","eremaea",NA
"native.gone","Proteaceae","Banksia","integrifolia",NA
"native.gone","Scrophulariaceae","Veronica","calycina",NA
"native.gone","Sinopteridaceae","Cheilanthes","sieberi","subsp. sieberi"
"intro.gone","Amaranthaceae","Amaranthus","viridis",NA
"intro.gone","Asteraceae","Aster","subulatus",NA
"intro.gone","Asteraceae","Cirsium","vulgare",NA
"intro.gone","Asteraceae","Gnaphalium","purpureum",NA
"intro.gone","Asteraceae","Hypochoeris","glabra",NA
"intro.gone","Asteraceae","Soliva","anthemifolia",NA
"intro.gone","Asteraceae","Tagetes","minuta",NA
"intro.gone","Asteraceae","Taraxacum","officinale",NA
"intro.gone","Caryophyllaceae","Cerastium","glomeratum",NA
"intro.gone","Caryophyllaceae","Paronychia","brasiliana",NA
"intro.gone","Chenopodiaceae","Chenopodium","album",NA
"intro.gone","Chenopodiaceae","Chenopodium","murale",NA
"intro.gone","Fabaceae","Trifolium","glomeratum",NA
"intro.gone","Fabaceae","Trifolium","repens",NA
"intro.gone","Juncaceae","Juncus","effusus",NA
"intro.gone","Malvaceae","Malva","parviflora",NA
"intro.gone","Malvaceae","Modiola","caroliniana",NA
"intro.gone","Oxalidaceae","Oxalis","debilis","var. corymbosa"
"intro.gone","Papaveraceae","Argemone","ochroleuca","subsp. ochroleuca"
"intro.gone","Poaceae","Aira","caryophyllea",NA
"intro.gone","Poaceae","Briza","minor",NA
"intro.gone","Poaceae","Holcus","lanatus",NA
"intro.gone","Polygonaceae","Acetosella","vulgaris",NA
"intro.gone","Polygonaceae","Rumex","crispus",NA
"intro.gone","Rosaceae","Rubus","discolor",NA
"intro.gone","Scrophulariaceae","Verbascum","virgatum",NA
"intro.gone","Solanaceae","Lycium","ferocissimum",NA
"intro.gone","Solanaceae","Solanum","sarrachoides",NA
"intro.gone","Urticaceae","Urtica","urens",NA
